
:CDEC data from SACRAMENTO RIVER AT KESWICK
:FLOW, RIVER DISCHARGE cfs
:Station ID KWK, sensor number 20, duration H
:Specified start date '01/01/2017 00:00' and ending date '05/02/2017 00:00'
:Note:  All data is PST and is displayed in 4-digit year format to comply with Y2K requirements.
:
:  sta yyyymmdd PS DHhhmm /code value
.A KWK 20161231 PS DH2300 /QRH 7300 
.A KWK 20170101 PS DH0000 /QRH 7090 
.A KWK 20170101 PS DH0100 /QRH 6940 
.A KWK 20170101 PS DH0200 /QRH 6850 
.A KWK 20170101 PS DH0300 /QRH 6660 
.A KWK 20170101 PS DH0400 /QRH 6490 
.A KWK 20170101 PS DH0500 /QRH 6300 
.A KWK 20170101 PS DH0600 /QRH 6320 
.A KWK 20170101 PS DH0700 /QRH 6280 
.A KWK 20170101 PS DH0800 /QRH 6320 
.A KWK 20170101 PS DH0900 /QRH 6330 
.A KWK 20170101 PS DH1000 /QRH 6300 
.A KWK 20170101 PS DH1100 /QRH 6340 
.A KWK 20170101 PS DH1200 /QRH 6320 
.A KWK 20170101 PS DH1300 /QRH 6300 
.A KWK 20170101 PS DH1400 /QRH 6270 
.A KWK 20170101 PS DH1500 /QRH 6270 
.A KWK 20170101 PS DH1600 /QRH 6290 
.A KWK 20170101 PS DH1700 /QRH 6290 
.A KWK 20170101 PS DH1800 /QRH 6360 
.A KWK 20170101 PS DH1900 /QRH 6410 
.A KWK 20170101 PS DH2000 /QRH 6390 
.A KWK 20170101 PS DH2100 /QRH 6430 
.A KWK 20170101 PS DH2200 /QRH 6410 
.A KWK 20170101 PS DH2300 /QRH 6370 
.A KWK 20170102 PS DH0000 /QRH 6390 
.A KWK 20170102 PS DH0100 /QRH 6200 
.A KWK 20170102 PS DH0200 /QRH 6190 
.A KWK 20170102 PS DH0300 /QRH 6200 
.A KWK 20170102 PS DH0400 /QRH 6190 
.A KWK 20170102 PS DH0500 /QRH 6200 
.A KWK 20170102 PS DH0600 /QRH 6210 
.A KWK 20170102 PS DH0700 /QRH 6200 
.A KWK 20170102 PS DH0800 /QRH 6180 
.A KWK 20170102 PS DH0900 /QRH 6200 
.A KWK 20170102 PS DH1000 /QRH 6200 
.A KWK 20170102 PS DH1100 /QRH 6210 
.A KWK 20170102 PS DH1200 /QRH 6200 
.A KWK 20170102 PS DH1300 /QRH 6190 
.A KWK 20170102 PS DH1400 /QRH 6210 
.A KWK 20170102 PS DH1500 /QRH 6190 
.A KWK 20170102 PS DH1600 /QRH 6150 
.A KWK 20170102 PS DH1700 /QRH 6120 
.A KWK 20170102 PS DH1800 /QRH 6120 
.A KWK 20170102 PS DH1900 /QRH 6150 
.A KWK 20170102 PS DH2000 /QRH 6130 
.A KWK 20170102 PS DH2100 /QRH 6150 
.A KWK 20170102 PS DH2200 /QRH 6180 
.A KWK 20170102 PS DH2300 /QRH 6010 
.A KWK 20170103 PS DH0000 /QRH 5710 
.A KWK 20170103 PS DH0100 /QRH 5720 
.A KWK 20170103 PS DH0200 /QRH 5730 
.A KWK 20170103 PS DH0300 /QRH 5620 
.A KWK 20170103 PS DH0400 /QRH 5500 
.A KWK 20170103 PS DH0500 /QRH 5470 
.A KWK 20170103 PS DH0600 /QRH 5500 
.A KWK 20170103 PS DH0700 /QRH 5530 
.A KWK 20170103 PS DH0800 /QRH 5520 
.A KWK 20170103 PS DH0900 /QRH 5530 
.A KWK 20170103 PS DH1000 /QRH 5500 
.A KWK 20170103 PS DH1100 /QRH 5540 
.A KWK 20170103 PS DH1200 /QRH 5560 
.A KWK 20170103 PS DH1300 /QRH 5560 
.A KWK 20170103 PS DH1400 /QRH 5520 
.A KWK 20170103 PS DH1500 /QRH 5540 
.A KWK 20170103 PS DH1600 /QRH 5500 
.A KWK 20170103 PS DH1700 /QRH 5560 
.A KWK 20170103 PS DH1800 /QRH 5590 
.A KWK 20170103 PS DH1900 /QRH 5620 
.A KWK 20170103 PS DH2000 /QRH 5680 
.A KWK 20170103 PS DH2100 /QRH 5650 
.A KWK 20170103 PS DH2200 /QRH 5710 
.A KWK 20170103 PS DH2300 /QRH 5710 
.A KWK 20170104 PS DH0000 /QRH 5530 
.A KWK 20170104 PS DH0100 /QRH 5320 
.A KWK 20170104 PS DH0200 /QRH 5190 
.A KWK 20170104 PS DH0300 /QRH 4950 
.A KWK 20170104 PS DH0400 /QRH 4930 
.A KWK 20170104 PS DH0500 /QRH 5020 
.A KWK 20170104 PS DH0600 /QRH 5050 
.A KWK 20170104 PS DH0700 /QRH 5020 
.A KWK 20170104 PS DH0800 /QRH 5050 
.A KWK 20170104 PS DH0900 /QRH 5040 
.A KWK 20170104 PS DH1000 /QRH 5040 
.A KWK 20170104 PS DH1100 /QRH 5010 
.A KWK 20170104 PS DH1200 /QRH 5030 
.A KWK 20170104 PS DH1300 /QRH 5030 
.A KWK 20170104 PS DH1400 /QRH 5040 
.A KWK 20170104 PS DH1500 /QRH 5030 
.A KWK 20170104 PS DH1600 /QRH 5010 
.A KWK 20170104 PS DH1700 /QRH 4990 
.A KWK 20170104 PS DH1800 /QRH 5090 
.A KWK 20170104 PS DH1900 /QRH 5010 
.A KWK 20170104 PS DH2000 /QRH 5050 
.A KWK 20170104 PS DH2100 /QRH 5060 
.A KWK 20170104 PS DH2200 /QRH 5060 
.A KWK 20170104 PS DH2300 /QRH 5040 
.A KWK 20170105 PS DH0000 /QRH 5040 
.A KWK 20170105 PS DH0100 /QRH 5060 
.A KWK 20170105 PS DH0200 /QRH 5030 
.A KWK 20170105 PS DH0300 /QRH 5040 
.A KWK 20170105 PS DH0400 /QRH 4980 
.A KWK 20170105 PS DH0500 /QRH 4970 
.A KWK 20170105 PS DH0600 /QRH 4960 
.A KWK 20170105 PS DH0700 /QRH 5020 
.A KWK 20170105 PS DH0800 /QRH 5000 
.A KWK 20170105 PS DH0900 /QRH 5020 
.A KWK 20170105 PS DH1000 /QRH 4990 
.A KWK 20170105 PS DH1100 /QRH 5030 
.A KWK 20170105 PS DH1200 /QRH 4910 
.A KWK 20170105 PS DH1300 /QRH 5110 
.A KWK 20170105 PS DH1400 /QRH 5080 
.A KWK 20170105 PS DH1500 /QRH 5100 
.A KWK 20170105 PS DH1600 /QRH 5130 
.A KWK 20170105 PS DH1700 /QRH 5070 
.A KWK 20170105 PS DH1800 /QRH 5120 
.A KWK 20170105 PS DH1900 /QRH 5130 
.A KWK 20170105 PS DH2000 /QRH 5150 
.A KWK 20170105 PS DH2100 /QRH 5120 
.A KWK 20170105 PS DH2200 /QRH 5080 
.A KWK 20170105 PS DH2300 /QRH 5080 
.A KWK 20170106 PS DH0000 /QRH 5100 
.A KWK 20170106 PS DH0100 /QRH 5120 
.A KWK 20170106 PS DH0200 /QRH 5060 
.A KWK 20170106 PS DH0300 /QRH 5060 
.A KWK 20170106 PS DH0400 /QRH 5070 
.A KWK 20170106 PS DH0500 /QRH 5070 
.A KWK 20170106 PS DH0600 /QRH 5060 
.A KWK 20170106 PS DH0700 /QRH 4970 
.A KWK 20170106 PS DH0800 /QRH 4980 
.A KWK 20170106 PS DH0900 /QRH 5050 
.A KWK 20170106 PS DH1000 /QRH 5010 
.A KWK 20170106 PS DH1100 /QRH 5010 
.A KWK 20170106 PS DH1200 /QRH 5010 
.A KWK 20170106 PS DH1300 /QRH 5040 
.A KWK 20170106 PS DH1400 /QRH 5000 
.A KWK 20170106 PS DH1500 /QRH 5040 
.A KWK 20170106 PS DH1600 /QRH 5060 
.A KWK 20170106 PS DH1700 /QRH 4970 
.A KWK 20170106 PS DH1800 /QRH 5030 
.A KWK 20170106 PS DH1900 /QRH 5080 
.A KWK 20170106 PS DH2000 /QRH 5080 
.A KWK 20170106 PS DH2100 /QRH 5070 
.A KWK 20170106 PS DH2200 /QRH 5050 
.A KWK 20170106 PS DH2300 /QRH 5370 
.A KWK 20170107 PS DH0000 /QRH 7180 
.A KWK 20170107 PS DH0100 /QRH 8180 
.A KWK 20170107 PS DH0200 /QRH 9850 
.A KWK 20170107 PS DH0300 /QRH 10100 
.A KWK 20170107 PS DH0400 /QRH 10100 
.A KWK 20170107 PS DH0500 /QRH 10100 
.A KWK 20170107 PS DH0600 /QRH 10000 
.A KWK 20170107 PS DH0700 /QRH 10000 
.A KWK 20170107 PS DH0800 /QRH m 
.A KWK 20170107 PS DH0900 /QRH 10000 
.A KWK 20170107 PS DH1000 /QRH 9990 
.A KWK 20170107 PS DH1100 /QRH 10100 
.A KWK 20170107 PS DH1200 /QRH 10100 
.A KWK 20170107 PS DH1300 /QRH 10000 
.A KWK 20170107 PS DH1400 /QRH 10000 
.A KWK 20170107 PS DH1500 /QRH 10000 
.A KWK 20170107 PS DH1600 /QRH 10100 
.A KWK 20170107 PS DH1700 /QRH 9980 
.A KWK 20170107 PS DH1800 /QRH 10000 
.A KWK 20170107 PS DH1900 /QRH 10000 
.A KWK 20170107 PS DH2000 /QRH 10100 
.A KWK 20170107 PS DH2100 /QRH 10000 
.A KWK 20170107 PS DH2200 /QRH 10000 
.A KWK 20170107 PS DH2300 /QRH 10100 
.A KWK 20170108 PS DH0000 /QRH 11700 
.A KWK 20170108 PS DH0100 /QRH 11700 
.A KWK 20170108 PS DH0200 /QRH 14500 
.A KWK 20170108 PS DH0300 /QRH 14700 
.A KWK 20170108 PS DH0400 /QRH 14600 
.A KWK 20170108 PS DH0500 /QRH 14900 
.A KWK 20170108 PS DH0600 /QRH 14400 
.A KWK 20170108 PS DH0700 /QRH 13900 
.A KWK 20170108 PS DH0800 /QRH 14700 
.A KWK 20170108 PS DH0900 /QRH 14800 
.A KWK 20170108 PS DH1000 /QRH 14900 
.A KWK 20170108 PS DH1100 /QRH 14800 
.A KWK 20170108 PS DH1200 /QRH 14800 
.A KWK 20170108 PS DH1300 /QRH 15100 
.A KWK 20170108 PS DH1400 /QRH 15200 
.A KWK 20170108 PS DH1500 /QRH 15500 
.A KWK 20170108 PS DH1600 /QRH 15400 
.A KWK 20170108 PS DH1700 /QRH 15400 
.A KWK 20170108 PS DH1800 /QRH 15300 
.A KWK 20170108 PS DH1900 /QRH 15100 
.A KWK 20170108 PS DH2000 /QRH 14900 
.A KWK 20170108 PS DH2100 /QRH 14800 
.A KWK 20170108 PS DH2200 /QRH 15000 
.A KWK 20170108 PS DH2300 /QRH 14700 
.A KWK 20170109 PS DH0000 /QRH 14700 
.A KWK 20170109 PS DH0100 /QRH 14600 
.A KWK 20170109 PS DH0200 /QRH 14700 
.A KWK 20170109 PS DH0300 /QRH 14800 
.A KWK 20170109 PS DH0400 /QRH 14800 
.A KWK 20170109 PS DH0500 /QRH 14900 
.A KWK 20170109 PS DH0600 /QRH 14800 
.A KWK 20170109 PS DH0700 /QRH 14900 
.A KWK 20170109 PS DH0800 /QRH 14900 
.A KWK 20170109 PS DH0900 /QRH 14600 
.A KWK 20170109 PS DH1000 /QRH 14700 
.A KWK 20170109 PS DH1100 /QRH 14700 
.A KWK 20170109 PS DH1200 /QRH 14700 
.A KWK 20170109 PS DH1300 /QRH 14800 
.A KWK 20170109 PS DH1400 /QRH 14800 
.A KWK 20170109 PS DH1500 /QRH 14700 
.A KWK 20170109 PS DH1600 /QRH 14800 
.A KWK 20170109 PS DH1700 /QRH 14600 
.A KWK 20170109 PS DH1800 /QRH 14600 
.A KWK 20170109 PS DH1900 /QRH 14600 
.A KWK 20170109 PS DH2000 /QRH 14500 
.A KWK 20170109 PS DH2100 /QRH 14500 
.A KWK 20170109 PS DH2200 /QRH 14500 
.A KWK 20170109 PS DH2300 /QRH 14400 
.A KWK 20170110 PS DH0000 /QRH 14500 
.A KWK 20170110 PS DH0100 /QRH 14600 
.A KWK 20170110 PS DH0200 /QRH 14900 
.A KWK 20170110 PS DH0300 /QRH 15000 
.A KWK 20170110 PS DH0400 /QRH 15300 
.A KWK 20170110 PS DH0500 /QRH 15400 
.A KWK 20170110 PS DH0600 /QRH 15700 
.A KWK 20170110 PS DH0700 /QRH 15600 
.A KWK 20170110 PS DH0800 /QRH 15800 
.A KWK 20170110 PS DH0900 /QRH 15900 
.A KWK 20170110 PS DH1000 /QRH 16000 
.A KWK 20170110 PS DH1100 /QRH 16400 
.A KWK 20170110 PS DH1200 /QRH 16600 
.A KWK 20170110 PS DH1300 /QRH 16600 
.A KWK 20170110 PS DH1400 /QRH 16700 
.A KWK 20170110 PS DH1500 /QRH 17400 
.A KWK 20170110 PS DH1600 /QRH 17900 
.A KWK 20170110 PS DH1700 /QRH 17200 
.A KWK 20170110 PS DH1800 /QRH 16400 
.A KWK 20170110 PS DH1900 /QRH 16200 
.A KWK 20170110 PS DH2000 /QRH 16000 
.A KWK 20170110 PS DH2100 /QRH 15900 
